         10865342 function calls (10865160 primitive calls) in 1022.365 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5148    0.010    0.000    0.020    0.000 /usr/lib/python3.6/email/_policybase.py:281(_sanitize_header)
     1266    0.010    0.000    3.925    0.003 /usr/lib/python3.6/http/client.py:534(_get_chunk_left)
      647    0.010    0.000    0.018    0.000 /usr/lib/python3.6/urllib/parse.py:361(urlparse)
      645    0.010    0.000    0.010    0.000 transitsim.py:98(<listcomp>)
     1278    0.010    0.000   38.457    0.030 /usr/lib/python3.6/http/client.py:596(_safe_read)
      645    0.010    0.000   21.700    0.034 /usr/lib/python3.6/http/client.py:1017(_send_output)
     7740    0.010    0.000    0.017    0.000 /usr/lib/python3.6/urllib/parse.py:808(quote_from_bytes)
      645    0.010    0.000    0.070    0.000 /usr/lib/python3.6/multiprocessing/queues.py:339(put)
     1290    0.010    0.000    0.032    0.000 /usr/lib/python3.6/multiprocessing/connection.py:501(Pipe)
     2580    0.010    0.000    0.015    0.000 /usr/lib/python3.6/tempfile.py:285(rng)
      645    0.009    0.000    0.009    0.000 /usr/lib/python3.6/email/feedparser.py:53(__init__)
     1266    0.009    0.000    3.865    0.003 /usr/lib/python3.6/http/client.py:504(_read_next_chunk_size)
     7836    0.009    0.000    0.009    0.000 {method 'split' of 'str' objects}
     2580    0.009    0.000    0.408    0.000 /usr/lib/python3.6/multiprocessing/synchronize.py:162(__init__)
     5835    0.009    0.000    0.009    0.000 {built-in method _thread.allocate_lock}
     1291    0.009    0.000    0.009    0.000 {method 'readlines' of '_io._IOBase' objects}
     2580    0.009    0.000    0.009    0.000 /usr/lib/python3.6/multiprocessing/connection.py:117(__init__)
      645    0.009    0.000    0.441    0.001 /usr/lib/python3.6/json/decoder.py:334(decode)
      645    0.009    0.000   21.657    0.034 /usr/lib/python3.6/http/client.py:933(connect)
    13674    0.009    0.000    0.009    0.000 {method 'rpartition' of 'str' objects}
      669    0.009    0.000    0.012    0.000 /usr/lib/python3.6/posixpath.py:75(join)
    13168    0.009    0.000    0.009    0.000 /usr/lib/python3.6/multiprocessing/util.py:48(debug)
      645    0.009    0.000   40.991    0.064 /usr/lib/python3.6/multiprocessing/pool.py:552(_help_stuff_finish)
      645    0.009    0.000    0.009    0.000 {method 'repeat' of 'numpy.generic' objects}
      732    0.008    0.000    0.009    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:1692(__contains__)
      645    0.008    0.000  781.389    1.211 /usr/lib/python3.6/multiprocessing/pool.py:261(map)
      645    0.008    0.000   21.740    0.034 /usr/lib/python3.6/http/client.py:1241(_send_request)
      645    0.008    0.000    0.022    0.000 /usr/lib/python3.6/email/feedparser.py:101(push)
      645    0.008    0.000   21.643    0.034 /usr/lib/python3.6/socket.py:688(create_connection)
      645    0.008    0.000    0.008    0.000 /usr/lib/python3.6/socket.py:139(__init__)
      645    0.008    0.000    0.065    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:529(transpose)
     1290    0.008    0.000    0.011    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/group.py:34(__init__)
     1935    0.008    0.000    0.029    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/base.py:109(_e)
     3225    0.008    0.000    0.016    0.000 /usr/lib/python3.6/threading.py:1062(_wait_for_tstate_lock)
     1290    0.008    0.000    0.008    0.000 /usr/lib/python3.6/email/message.py:120(__init__)
      645    0.008    0.000    0.619    0.001 /usr/lib/python3.6/socket.py:728(getaddrinfo)
      645    0.008    0.000    0.035    0.000 /usr/lib/python3.6/multiprocessing/reduction.py:48(dumps)
      645    0.008    0.000    0.059    0.000 /usr/lib/python3.6/urllib/request.py:326(__init__)
      645    0.007    0.000    0.011    0.000 /usr/lib/python3.6/urllib/request.py:1233(_get_content_length)
     1290    0.007    0.000    0.008    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/base.py:43(guess_dtype)
      645    0.007    0.000    0.010    0.000 /usr/lib/python3.6/http/client.py:836(__init__)
      645    0.007    0.000    0.124    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_methods.py:133(_std)
      645    0.007    0.000    0.021    0.000 /usr/lib/python3.6/multiprocessing/connection.py:181(send_bytes)
     1935    0.007    0.000    0.007    0.000 /usr/lib/python3.6/threading.py:1120(daemon)
     1527    0.007    0.000    0.008    0.000 /usr/lib/python3.6/re.py:286(_compile)
     1290    0.007    0.000    0.020    0.000 /usr/lib/python3.6/threading.py:1104(is_alive)
      645    0.007    0.000    0.027    0.000 /usr/lib/python3.6/socket.py:649(close)
      645    0.007    0.000    4.303    0.007 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:851(argsort)
     3225    0.007    0.000    0.008    0.000 /usr/lib/python3.6/multiprocessing/process.py:150(name)
     7740    0.007    0.000    0.026    0.000 /usr/lib/python3.6/urllib/parse.py:747(quote)
     1935    0.007    0.000    0.014    0.000 /usr/lib/python3.6/threading.py:1024(join)
     3550    0.006    0.000    0.033    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:424(asarray)
     2580    0.006    0.000    0.010    0.000 /usr/lib/python3.6/weakref.py:109(remove)
      645    0.006    0.000    0.006    0.000 {method 'dump' of '_pickle.Pickler' objects}
      633    0.006    0.000   42.381    0.067 /usr/lib/python3.6/http/client.py:558(_readall_chunked)
    24492    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
     1558    0.006    0.000    9.231    0.006 /usr/lib/python3.6/multiprocessing/popen_fork.py:43(wait)
     3225    0.006    0.000    0.024    0.000 /usr/lib/python3.6/multiprocessing/process.py:181(exitcode)
      645    0.006    0.000   50.521    0.078 /usr/lib/python3.6/multiprocessing/pool.py:537(terminate)
     1935    0.006    0.000    0.007    0.000 /usr/lib/python3.6/threading.py:1136(daemon)
      645    0.006    0.000   13.331    0.021 /scratch/yyl/noisecorre/keputils.py:200(local_view)
