         33387371 function calls (33387189 primitive calls) in 2525.396 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40012 1697.037    0.042 1697.037    0.042 {method 'acquire' of '_thread.lock' objects}
   102070    0.036    0.000    0.036    0.000 {method 'encode' of 'str' objects}
     2000    0.035    0.000    0.128    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:37(_wrapit)
     8000    0.035    0.000    0.157    0.000 /usr/lib/python3.6/email/message.py:564(get_content_type)
     2003    0.035    0.000    0.057    0.000 /usr/lib/python3.6/urllib/parse.py:361(urlparse)
     2000    0.034    0.000  113.834    0.057 /usr/lib/python3.6/multiprocessing/pool.py:552(_help_stuff_finish)
     4000    0.034    0.000    0.034    0.000 {method 'sendall' of '_socket.socket' objects}
     2000    0.034    0.000    0.034    0.000 /usr/lib/python3.6/socket.py:560(__init__)
     8442    0.034    0.000    0.061    0.000 /usr/lib/python3.6/multiprocessing/popen_fork.py:53(terminate)
    32571    0.034    0.000    0.034    0.000 /usr/lib/python3.6/socket.py:611(readable)
     2000    0.034    0.000    0.034    0.000 transitsim.py:99(<listcomp>)
    24012    0.033    0.000    0.056    0.000 /usr/lib/python3.6/urllib/parse.py:808(quote_from_bytes)
     4000    0.033    0.000    0.033    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/filters.py:207(get_filters)
     8000    0.032    0.000    0.116    0.000 /usr/lib/python3.6/multiprocessing/util.py:136(register_after_fork)
     2000    0.032    0.000    0.032    0.000 {built-in method builtins.print}
     2001    0.032    0.000  472.646    0.236 /usr/lib/python3.6/urllib/request.py:508(open)
     2000    0.032    0.000    0.794    0.000 /usr/lib/python3.6/email/parser.py:42(parse)
     6000    0.032    0.000    0.032    0.000 /usr/lib/python3.6/threading.py:727(_newname)
   110954    0.030    0.000    0.030    0.000 {method 'getrandbits' of '_random.Random' objects}
     2300    0.030    0.000    0.074    0.000 /usr/lib/python3.6/warnings.py:119(filterwarnings)
    10009    0.030    0.000    0.030    0.000 {method 'replace' of 'str' objects}
    22000    0.030    0.000    0.034    0.000 /usr/lib/python3.6/email/feedparser.py:78(readline)
     2001    0.028    0.000    0.028    0.000 /usr/lib/python3.6/socket.py:139(__init__)
    22000    0.028    0.000    0.062    0.000 /usr/lib/python3.6/email/feedparser.py:128(__next__)
     2001    0.028    0.000    0.076    0.000 /usr/lib/python3.6/urllib/request.py:1238(do_request_)
     2088    0.028    0.000    0.029    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:1692(__contains__)
     2000    0.027    0.000    0.821    0.000 /usr/lib/python3.6/email/parser.py:60(parsestr)
     2001    0.027    0.000  203.667    0.102 /usr/lib/python3.6/http/client.py:1241(_send_request)
     8442    0.027    0.000    0.027    0.000 {built-in method posix.kill}
     2000    0.027    0.000    0.185    0.000 /usr/lib/python3.6/multiprocessing/queues.py:339(put)
     2000    0.027    0.000    0.063    0.000 /usr/lib/python3.6/email/feedparser.py:101(push)
     6000    0.026    0.000    0.094    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/base.py:109(_e)
     2000    0.026    0.000    1.113    0.001 /usr/lib/python3.6/json/__init__.py:302(loads)
     4000    0.026    0.000    0.026    0.000 /usr/lib/python3.6/email/message.py:120(__init__)
     4001    0.026    0.000  203.510    0.051 /usr/lib/python3.6/http/client.py:956(send)
     2000    0.026    0.000    0.066    0.000 /usr/lib/python3.6/queue.py:27(__init__)
     3943    0.026    0.000  109.506    0.028 /usr/lib/python3.6/http/client.py:596(_safe_read)
    15943    0.026    0.000    0.050    0.000 /usr/lib/python3.6/email/_policybase.py:281(_sanitize_header)
     3886    0.026    0.000   12.284    0.003 /usr/lib/python3.6/http/client.py:534(_get_chunk_left)
     2001    0.025    0.000  203.540    0.102 /usr/lib/python3.6/http/client.py:1017(_send_output)
     3744    0.025    0.000   20.049    0.005 /usr/lib/python3.6/multiprocessing/process.py:118(join)
     2001    0.025    0.000    0.162    0.000 /scratch/yyl/noisecorre/kepio.py:94(get_id)
     4000    0.025    0.000    0.081    0.000 /usr/lib/python3.6/multiprocessing/connection.py:501(Pipe)
    30571    0.025    0.000    0.051    0.000 {method '_checkReadable' of '_io._IOBase' objects}
    42130    0.024    0.000    0.024    0.000 {method 'rpartition' of 'str' objects}
     3886    0.024    0.000   12.136    0.003 /usr/lib/python3.6/http/client.py:504(_read_next_chunk_size)
     8000    0.024    0.000    0.024    0.000 /usr/lib/python3.6/multiprocessing/connection.py:117(__init__)
     2001    0.023    0.000    1.326    0.001 /usr/lib/python3.6/socket.py:728(getaddrinfo)
    24096    0.023    0.000    0.023    0.000 {method 'split' of 'str' objects}
    10000    0.023    0.000    0.107    0.000 /usr/lib/python3.6/threading.py:1062(_wait_for_tstate_lock)
     2000    0.023    0.000    1.083    0.001 /usr/lib/python3.6/json/decoder.py:334(decode)
    39744    0.023    0.000    0.023    0.000 /usr/lib/python3.6/multiprocessing/util.py:48(debug)
     4001    0.023    0.000    0.023    0.000 {method 'readlines' of '_io._IOBase' objects}
     2000    0.023    0.000    0.023    0.000 {method 'repeat' of 'numpy.generic' objects}
     2000    0.022    0.000    0.196    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:529(transpose)
     8000    0.022    0.000    0.031    0.000 /usr/lib/python3.6/weakref.py:109(remove)
     2001    0.022    0.000  203.408    0.102 /usr/lib/python3.6/socket.py:688(create_connection)
    24012    0.022    0.000    0.086    0.000 /usr/lib/python3.6/urllib/parse.py:747(quote)
     2001    0.022    0.000  203.441    0.102 /usr/lib/python3.6/http/client.py:933(connect)
     4000    0.022    0.000    0.023    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/base.py:43(guess_dtype)
     4000    0.022    0.000    0.029    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/group.py:34(__init__)
     2001    0.021    0.000    0.033    0.000 /usr/lib/python3.6/urllib/request.py:1233(_get_content_length)
     4000    0.021    0.000    0.059    0.000 /usr/lib/python3.6/threading.py:1104(is_alive)
     6000    0.021    0.000    0.021    0.000 /usr/lib/python3.6/threading.py:1120(daemon)
     8000    0.021    0.000    0.035    0.000 /usr/lib/python3.6/tempfile.py:285(rng)
     2000    0.020    0.000    0.090    0.000 /usr/lib/python3.6/multiprocessing/reduction.py:48(dumps)
     2000    0.020    0.000    0.035    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/compat.py:103(filename_encode)
    18030    0.020    0.000    0.020    0.000 {built-in method _thread.allocate_lock}
     2000    0.020    0.000 1695.999    0.848 /usr/lib/python3.6/multiprocessing/pool.py:261(map)
     2000    0.020    0.000    0.056    0.000 /usr/lib/python3.6/multiprocessing/connection.py:181(send_bytes)
     4615    0.019    0.000    0.021    0.000 /usr/lib/python3.6/re.py:286(_compile)
    10000    0.019    0.000    0.077    0.000 /usr/lib/python3.6/multiprocessing/process.py:181(exitcode)
     2001    0.019    0.000    0.028    0.000 /usr/lib/python3.6/http/client.py:836(__init__)
