         7221589 function calls (7220879 primitive calls) in 531.857 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      309    0.004    0.000    0.028    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:6345(array)
      309    0.004    0.000    0.004    0.000 /usr/lib/python3.6/email/feedparser.py:53(__init__)
      309    0.004    0.000    0.034    0.000 /usr/lib/python3.6/multiprocessing/queues.py:339(put)
      309    0.004    0.000    0.024    0.000 /scratch/yyl/noisecorre/kepio.py:94(get_id)
      309    0.004    0.000    0.207    0.001 /usr/lib/python3.6/json/decoder.py:334(decode)
    15407    0.004    0.000    0.004    0.000 {method 'encode' of 'str' objects}
      309    0.004    0.000   15.755    0.051 /usr/lib/python3.6/multiprocessing/pool.py:552(_help_stuff_finish)
      309    0.004    0.000    0.156    0.001 /usr/lib/python3.6/email/parser.py:60(parsestr)
    16179    0.004    0.000    0.043    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_methods.py:37(_any)
     3708    0.004    0.000    0.007    0.000 /usr/lib/python3.6/urllib/parse.py:808(quote_from_bytes)
      309    0.004    0.000    0.004    0.000 transitsim.py:98(<listcomp>)
     2815    0.004    0.000    0.004    0.000 {built-in method _thread.allocate_lock}
     5265    0.004    0.000    0.020    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:1819(_check_mask_axis)
     1236    0.004    0.000    0.004    0.000 /usr/lib/python3.6/multiprocessing/connection.py:117(__init__)
     1236    0.004    0.000    0.199    0.000 /usr/lib/python3.6/multiprocessing/synchronize.py:162(__init__)
     6163    0.004    0.000    0.038    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:3022(<listcomp>)
      396    0.004    0.000    0.004    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:1692(__contains__)
      309    0.004    0.000    0.012    0.000 /usr/lib/python3.6/urllib/request.py:1238(do_request_)
     3333    0.004    0.000    0.004    0.000 {method 'copy' of 'numpy.generic' objects}
     1236    0.004    0.000    0.007    0.000 /usr/lib/python3.6/tempfile.py:285(rng)
     6256    0.004    0.000    0.004    0.000 /usr/lib/python3.6/multiprocessing/util.py:48(debug)
      309    0.004    0.000    0.016    0.000 /usr/lib/python3.6/multiprocessing/reduction.py:48(dumps)
